Email,Name,ID,Section,Gender,Age,Department,Study_Hours_per_Week,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade
ishaan.roy13@gmail.com,Ishaan Roy,STU100013,C,Male,23,Engineering,19.7,82.34,61.14,68.59,74.93,72.48,51.71,73.96,69.51,C
sai.singh14@gmail.com,Sai Singh,STU100014,A,Male,19,CS,14.7,73.42,57.12,61.35,62.83,57.42,58.23,71.21,62.37,C
diya.gupta15@gmail.com,Diya Gupta,STU100015,E,Female,18,Mathematics,15.2,76.31,46.59,56.72,59.08,63.9,50.71,69.93,58.75,C
ira.patel16@gmail.com,Ira Patel,STU100016,D,Female,22,CS,31.3,86.89,80.14,74.91,75.23,80.96,66.48,88.91,78.79,B
ira.iyer17@gmail.com,Ira Iyer,STU100017,A,Female,20,Business,15.0,74.21,57.93,64.69,62.7,63.02,43.79,73.47,63.66,C
aadhya.sharma18@gmail.com,Aadhya Sharma,STU100018,E,Male,20,CS,14.8,74.43,62.85,64.34,59.56,53.92,59.88,67.12,63.35,C
navya.sharma19@gmail.com,Navya Sharma,STU100019,D,Female,19,CS,22.5,75.05,60.35,63.22,74.08,62.23,43.74,85.99,66.66,C
krishna.gupta20@gmail.com,Krishna Gupta,STU100020,A,Female,21,Engineering,19.3,79.2,59.51,75.77,65.59,60.64,53.71,70.02,68.14,C
reyansh.singh21@gmail.com,Reyansh Singh,STU100021,D,Male,23,CS,21.9,75.04,62.27,73.57,69.36,71.13,54.42,77.54,70.02,B
anika.kumar22@gmail.com,Anika Kumar,STU100022,C,Female,23,Engineering,22.6,80.47,63.29,76.94,79.19,61.99,55.56,84.23,73.06,B
krishna.kumar23@gmail.com,Krishna Kumar,STU100023,B,Female,23,Business,9.6,68.2,54.57,54.04,66.05,59.45,52.23,68.71,59.28,C
anika.roy24@gmail.com,Anika Roy,STU100024,A,Male,21,CS,9.2,69.61,40.0,48.75,61.87,45.0,45.87,63.53,52.01,D
myra.roy25@gmail.com,Myra Roy,STU100025,E,Male,20,Business,25.8,86.04,65.91,80.41,70.66,56.24,57.22,84.49,73.44,B
aditya.iyer26@gmail.com,Aditya Iyer,STU100026,B,Male,18,Mathematics,11.2,72.76,54.67,60.18,62.33,50.73,48.68,74.36,60.56,C
ananya.chatterjee27@gmail.com,Ananya Chatterjee,STU100027,D,Female,19,Mathematics,17.1,81.5,52.51,60.76,62.48,56.93,58.53,69.54,61.82,C
sai.patel28@gmail.com,Sai Patel,STU100028,D,Female,20,CS,16.9,80.39,59.58,61.35,68.37,62.54,57.98,73.54,65.12,C
myra.patel29@gmail.com,Myra Patel,STU100029,B,Male,22,Mathematics,21.3,81.87,72.75,68.71,67.46,71.33,54.22,79.02,71.21,B
vivaan.sharma30@gmail.com,Vivaan Sharma,STU100030,E,Male,23,Engineering,20.8,81.83,67.53,73.92,66.55,68.85,55.12,80.63,71.55,B
sara.singh31@gmail.com,Sara Singh,STU100031,B,Male,18,Mathematics,16.3,76.79,55.04,61.73,62.27,56.03,51.74,81.03,62.84,C
ishita.verma32@gmail.com,Ishita Verma,STU100032,E,Male,20,CS,19.5,75.28,64.74,65.61,70.3,60.27,57.1,72.87,66.87,C
anika.verma33@gmail.com,Anika Verma,STU100033,B,Male,19,Mathematics,29.6,85.55,71.14,81.48,84.43,67.72,60.5,89.32,78.62,B
arjun.das34@gmail.com,Arjun Das,STU100034,B,Male,22,CS,17.8,78.28,57.75,69.25,67.69,58.38,50.72,80.5,66.73,C
navya.kumar35@gmail.com,Navya Kumar,STU100035,E,Male,22,CS,26.1,82.68,65.97,68.1,78.0,63.42,54.21,82.72,70.91,B
ishita.gupta36@gmail.com,Ishita Gupta,STU100036,D,Female,23,CS,26.9,88.61,76.54,83.8,78.89,70.84,58.29,87.35,79.88,B
vihaan.verma37@gmail.com,Vihaan Verma,STU100037,C,Male,19,CS,21.3,80.89,71.61,69.63,71.72,62.11,54.61,80.15,71.01,B
ira.gupta38@gmail.com,Ira Gupta,STU100038,A,Female,19,CS,21.4,77.04,61.04,62.82,71.84,58.3,56.75,76.45,65.85,C
reyansh.kumar39@gmail.com,Reyansh Kumar,STU100039,D,Male,20,CS,17.9,76.81,58.3,61.79,68.34,62.07,57.49,70.06,64.22,C
myra.das40@gmail.com,Myra Das,STU100040,E,Female,22,Mathematics,26.7,84.03,75.83,75.01,84.23,74.26,67.9,89.97,78.53,B
ira.patel41@gmail.com,Ira Patel,STU100041,C,Female,22,Engineering,24.9,86.52,69.67,70.15,81.13,67.62,54.15,85.91,73.86,B
ishaan.gupta42@gmail.com,Ishaan Gupta,STU100042,A,Female,21,Engineering,16.6,80.59,60.57,66.45,59.24,62.64,54.78,74.75,65.47,C
ishita.chatterjee43@gmail.com,Ishita Chatterjee,STU100043,B,Female,20,CS,30.0,84.92,64.55,75.52,86.18,77.66,60.94,86.74,76.47,B
sai.verma44@gmail.com,Sai Verma,STU100044,C,Male,24,Engineering,15.8,71.68,57.65,56.73,59.8,58.56,47.25,73.21,60.23,C
ishaan.roy45@gmail.com,Ishaan Roy,STU100045,A,Female,19,Business,15.4,78.59,51.4,62.97,72.89,57.66,43.15,65.97,62.49,C
shaurya.gupta46@gmail.com,Shaurya Gupta,STU100046,A,Female,17,CS,23.1,84.15,64.14,73.63,77.86,59.11,52.61,79.84,71.54,B
sai.gupta47@gmail.com,Sai Gupta,STU100047,D,Male,20,CS,20.1,77.29,69.11,61.5,66.55,55.46,56.83,83.97,66.77,C
sara.kumar48@gmail.com,Sara Kumar,STU100048,B,Male,17,Engineering,21.2,81.75,64.95,64.85,70.44,63.99,55.41,73.48,67.7,C
ananya.das49@gmail.com,Ananya Das,STU100049,D,Male,17,CS,29.9,86.42,69.28,81.06,85.17,71.67,58.51,93.39,79.02,B
krishna.sharma50@gmail.com,Krishna Sharma,STU100050,E,Male,22,Engineering,14.6,72.95,50.81,72.4,64.36,60.95,48.6,72.77,64.63,C
anika.sharma51@gmail.com,Anika Sharma,STU100051,B,Female,21,Engineering,29.5,92.06,78.74,77.63,79.65,65.99,67.78,87.18,78.9,B
ananya.kumar52@gmail.com,Ananya Kumar,STU100052,E,Male,20,CS,20.8,83.09,64.85,68.43,66.56,62.05,50.08,78.95,68.4,C
krishna.verma53@gmail.com,Krishna Verma,STU100053,C,Male,21,Business,10.0,74.42,57.87,57.69,65.85,47.59,46.87,62.56,59.56,C
ishaan.roy54@gmail.com,Ishaan Roy,STU100054,A,Male,19,Engineering,31.0,90.92,75.6,75.75,82.84,71.13,54.7,89.98,78.21,B
aadhya.iyer55@gmail.com,Aadhya Iyer,STU100055,A,Male,17,Mathematics,19.2,75.55,55.04,67.22,70.56,66.04,51.63,73.92,65.89,C
sai.das56@gmail.com,Sai Das,STU100056,E,Female,17,Engineering,17.0,77.55,60.68,61.58,66.19,60.47,51.99,70.29,63.97,C
sara.patel57@gmail.com,Sara Patel,STU100057,E,Male,22,Business,20.0,82.21,65.19,63.9,71.57,56.65,55.44,78.46,67.45,C
riya.singh58@gmail.com,Riya Singh,STU100058,A,Male,18,CS,25.3,80.62,65.44,73.03,73.92,68.93,52.0,80.24,71.66,B
riya.roy59@gmail.com,Riya Roy,STU100059,A,Male,23,CS,33.3,94.58,74.6,86.85,83.66,77.04,71.71,91.28,83.4,B
ishita.roy60@gmail.com,Ishita Roy,STU100060,C,Male,19,Business,17.3,75.92,56.2,63.32,68.58,63.07,54.07,76.64,64.79,C
aditya.gupta61@gmail.com,Aditya Gupta,STU100061,E,Male,17,Engineering,22.7,84.73,58.43,64.87,70.52,55.55,63.04,79.13,66.82,C
sara.roy62@gmail.com,Sara Roy,STU100062,C,Male,23,Business,17.9,76.47,57.64,58.13,60.38,60.56,48.48,74.41,61.59,C
aadhya.gupta63@gmail.com,Aadhya Gupta,STU100063,A,Female,18,CS,21.8,79.55,58.56,66.42,75.37,64.75,57.63,80.32,68.29,C
myra.chatterjee64@gmail.com,Myra Chatterjee,STU100064,A,Male,24,Engineering,16.9,77.63,58.85,71.77,68.28,67.29,47.64,68.71,67.29,C
navya.kumar65@gmail.com,Navya Kumar,STU100065,C,Female,21,Business,15.4,77.32,57.37,57.95,64.38,52.36,48.88,71.01,61.03,C
anika.das66@gmail.com,Anika Das,STU100066,D,Female,23,Mathematics,27.9,94.56,66.45,72.34,73.27,68.35,58.71,78.39,73.05,B
sara.gupta67@gmail.com,Sara Gupta,STU100067,A,Female,22,CS,5.0,72.65,45.61,49.46,53.36,53.78,40.0,66.3,53.24,D
anika.roy68@gmail.com,Anika Roy,STU100068,E,Male,23,CS,23.0,80.27,72.34,72.24,66.46,78.36,67.63,77.15,73.07,B
vihaan.das69@gmail.com,Vihaan Das,STU100069,E,Female,19,CS,13.0,75.71,51.01,66.62,62.17,52.86,40.0,67.0,61.07,C
vivaan.sharma70@gmail.com,Vivaan Sharma,STU100070,A,Female,23,CS,27.9,86.73,65.18,74.35,77.29,68.08,55.15,90.66,74.24,B
ira.chatterjee71@gmail.com,Ira Chatterjee,STU100071,B,Female,17,Engineering,21.9,75.91,62.74,70.01,76.3,65.74,58.5,84.27,70.51,B
aditya.sharma72@gmail.com,Aditya Sharma,STU100072,B,Male,21,Business,18.5,79.81,49.47,65.5,65.62,60.6,44.24,79.18,63.56,C
diya.verma73@gmail.com,Diya Verma,STU100073,E,Female,20,CS,18.8,77.23,62.35,68.56,56.68,67.4,55.79,75.84,66.38,C
arjun.verma74@gmail.com,Arjun Verma,STU100074,A,Female,22,Engineering,24.6,87.29,65.19,72.96,74.05,61.79,64.32,79.47,72.1,B
ishita.roy75@gmail.com,Ishita Roy,STU100075,C,Male,20,Engineering,23.4,83.84,64.01,65.41,69.09,75.58,58.31,76.53,69.3,C
sara.gupta76@gmail.com,Sara Gupta,STU100076,B,Male,22,Business,36.9,94.01,75.13,90.29,87.16,75.41,59.6,98.6,84.97,B
ira.das77@gmail.com,Ira Das,STU100077,D,Female,20,CS,18.1,82.12,56.33,66.24,75.27,67.17,43.83,70.89,66.64,C
riya.roy78@gmail.com,Riya Roy,STU100078,B,Female,24,Business,35.1,95.07,83.27,93.22,82.68,71.63,61.17,95.36,86.29,A
ananya.singh79@gmail.com,Ananya Singh,STU100079,C,Male,23,Business,14.9,80.71,51.05,65.26,71.56,66.35,57.78,70.89,65.21,C
ira.das80@gmail.com,Ira Das,STU100080,A,Male,20,Engineering,9.9,68.83,61.14,55.15,55.62,50.32,40.0,65.68,57.6,C
ananya.chatterjee81@gmail.com,Ananya Chatterjee,STU100081,B,Male,17,CS,9.0,66.17,49.84,51.27,58.15,52.04,46.3,71.45,55.35,C
riya.gupta82@gmail.com,Riya Gupta,STU100082,B,Male,20,Mathematics,24.0,88.43,60.6,70.68,77.77,69.81,61.27,76.51,71.53,B
krishna.kumar83@gmail.com,Krishna Kumar,STU100083,A,Female,21,Mathematics,13.6,71.38,54.55,57.09,60.14,64.26,43.19,72.08,59.99,C
ishita.sharma84@gmail.com,Ishita Sharma,STU100084,C,Female,20,Mathematics,17.6,75.16,57.89,70.03,71.72,57.23,57.92,74.59,66.94,C
reyansh.iyer85@gmail.com,Reyansh Iyer,STU100085,D,Male,18,Engineering,18.4,78.63,57.5,61.4,74.3,65.7,52.0,68.09,64.91,C
navya.roy86@gmail.com,Navya Roy,STU100086,A,Female,19,Mathematics,13.8,80.57,63.39,65.32,60.85,60.71,50.73,66.67,64.73,C
aarav.verma87@gmail.com,Aarav Verma,STU100087,E,Male,24,Mathematics,10.3,73.35,48.88,54.96,59.79,50.3,49.64,60.98,56.18,C
shaurya.das88@gmail.com,Shaurya Das,STU100088,C,Male,19,Mathematics,21.3,80.16,65.16,69.83,77.16,57.31,55.77,78.86,69.97,C
krishna.singh89@gmail.com,Krishna Singh,STU100089,A,Female,20,Business,17.1,76.55,57.38,67.32,69.66,66.47,48.5,71.15,65.96,C
aditya.sharma90@gmail.com,Aditya Sharma,STU100090,D,Male,18,Business,23.1,86.66,70.24,71.4,75.66,61.53,56.94,86.77,73.16,B
ishita.chatterjee91@gmail.com,Ishita Chatterjee,STU100091,D,Male,22,Business,13.6,74.42,55.82,58.81,62.19,57.72,50.77,68.11,60.7,C
vihaan.singh92@gmail.com,Vihaan Singh,STU100092,B,Female,23,Business,20.9,81.23,59.52,68.18,65.94,66.1,56.27,77.7,67.57,C
sai.roy93@gmail.com,Sai Roy,STU100093,C,Female,23,Business,18.8,79.48,57.45,58.63,67.44,67.45,52.28,69.92,63.49,C
arjun.kumar94@gmail.com,Arjun Kumar,STU100094,B,Male,21,Engineering,24.6,88.48,65.12,68.65,73.14,62.8,57.05,87.85,71.36,B
ishita.das95@gmail.com,Ishita Das,STU100095,A,Female,20,CS,17.9,78.08,52.82,59.71,62.38,53.5,43.27,73.26,60.48,C
reyansh.kumar96@gmail.com,Reyansh Kumar,STU100096,C,Male,20,Mathematics,23.0,82.21,60.17,72.62,74.86,78.73,53.15,79.1,71.71,B
sai.verma97@gmail.com,Sai Verma,STU100097,B,Male,24,Engineering,24.5,85.75,61.41,67.08,73.68,70.99,59.24,84.78,70.57,B
navya.patel98@gmail.com,Navya Patel,STU100098,A,Female,21,Business,19.1,77.66,58.46,67.26,68.12,60.74,53.65,81.25,66.74,C
myra.patel99@gmail.com,Myra Patel,STU100099,B,Female,22,Engineering,24.1,80.07,61.81,68.15,68.65,71.31,61.62,83.3,69.65,C
vihaan.singh100@gmail.com,Vihaan Singh,STU100100,B,Male,20,Mathematics,22.2,80.21,68.32,64.05,70.22,61.35,50.52,78.38,67.93,C
ira.chatterjee101@gmail.com,Ira Chatterjee,STU100101,A,Female,18,Mathematics,18.3,79.68,56.33,62.01,63.78,61.67,53.0,73.27,63.55,C
myra.roy102@gmail.com,Myra Roy,STU100102,B,Male,21,Mathematics,11.7,69.83,48.49,66.71,67.04,62.73,54.81,68.7,62.63,C
anika.patel103@gmail.com,Anika Patel,STU100103,C,Female,20,Mathematics,23.7,84.89,60.24,69.83,64.64,58.64,57.1,76.86,67.59,C
ishaan.iyer104@gmail.com,Ishaan Iyer,STU100104,E,Female,17,Business,17.8,77.48,62.61,71.62,69.42,65.9,59.58,74.43,69.18,C
diya.verma105@gmail.com,Diya Verma,STU100105,C,Female,21,Business,14.4,69.94,55.92,59.31,60.34,57.6,44.6,73.63,60.38,C
aarav.patel106@gmail.com,Aarav Patel,STU100106,B,Female,22,Mathematics,18.0,78.32,52.7,68.94,73.83,70.55,49.69,72.72,66.94,C
myra.iyer107@gmail.com,Myra Iyer,STU100107,B,Male,20,CS,14.4,72.97,61.59,62.51,64.32,59.38,47.5,72.13,63.54,C
myra.das108@gmail.com,Myra Das,STU100108,E,Female,23,Engineering,20.0,87.17,66.18,68.95,64.26,60.43,50.51,80.17,68.86,C
reyansh.verma109@gmail.com,Reyansh Verma,STU100109,A,Male,18,Engineering,35.2,99.43,72.9,81.18,94.4,80.19,63.33,92.95,83.52,B
myra.verma110@gmail.com,Myra Verma,STU100110,A,Male,19,Business,11.5,69.65,46.86,62.81,64.52,59.48,41.59,68.94,59.78,C
vivaan.kumar111@gmail.com,Vivaan Kumar,STU100111,B,Female,24,Mathematics,8.4,72.04,53.03,59.14,62.98,57.35,49.27,68.62,60.06,C
ishaan.kumar112@gmail.com,Ishaan Kumar,STU100112,A,Female,22,CS,18.4,82.32,61.39,66.44,69.23,57.6,57.66,72.39,66.71,C
ira.das113@gmail.com,Ira Das,STU100113,E,Male,18,CS,29.5,91.73,80.89,74.32,81.65,73.57,56.37,87.22,78.79,B
reyansh.singh114@gmail.com,Reyansh Singh,STU100114,E,Female,20,Mathematics,24.4,80.28,62.44,68.57,72.72,66.11,46.69,84.54,69.39,C
ira.singh115@gmail.com,Ira Singh,STU100115,A,Male,23,Business,12.9,76.08,50.25,55.08,60.68,65.79,59.26,69.79,59.81,C
riya.roy116@gmail.com,Riya Roy,STU100116,C,Male,18,Engineering,6.9,69.59,50.98,51.63,53.93,58.62,55.92,57.89,55.18,C
riya.singh117@gmail.com,Riya Singh,STU100117,D,Male,21,Mathematics,15.6,73.79,59.4,55.85,66.69,57.88,49.43,73.92,61.67,C
aadhya.roy118@gmail.com,Aadhya Roy,STU100118,D,Female,22,Mathematics,27.6,85.72,63.73,70.6,75.59,67.46,59.63,85.59,72.12,B
ananya.kumar119@gmail.com,Ananya Kumar,STU100119,D,Female,18,Mathematics,18.4,78.03,55.08,70.4,68.81,64.22,54.21,74.02,66.8,C
ishaan.roy120@gmail.com,Ishaan Roy,STU100120,C,Female,23,Engineering,20.1,78.8,64.77,66.09,68.64,60.99,62.13,69.15,67.08,C
ira.roy121@gmail.com,Ira Roy,STU100121,C,Female,21,Engineering,18.4,70.74,63.0,62.65,63.74,62.07,49.79,67.51,63.48,C
navya.roy122@gmail.com,Navya Roy,STU100122,D,Male,21,Mathematics,26.0,82.55,73.3,78.53,76.07,67.88,56.59,83.64,75.86,B
aditya.chatterjee123@gmail.com,Aditya Chatterjee,STU100123,A,Female,19,Mathematics,12.4,75.38,58.68,57.19,61.91,58.56,48.52,73.19,61.32,C
diya.das124@gmail.com,Diya Das,STU100124,D,Male,18,CS,17.7,74.52,54.27,71.53,72.4,61.2,49.77,76.43,66.88,C
sai.iyer125@gmail.com,Sai Iyer,STU100125,B,Male,22,Engineering,12.2,76.27,52.56,55.6,62.69,49.78,56.27,74.83,59.5,C
myra.iyer126@gmail.com,Myra Iyer,STU100126,D,Female,18,Business,28.6,89.78,66.25,77.44,78.74,76.27,65.73,82.43,76.43,B
aditya.iyer127@gmail.com,Aditya Iyer,STU100127,D,Female,21,CS,21.0,84.18,64.42,61.61,75.84,71.1,53.36,83.48,69.29,C
shaurya.sharma128@gmail.com,Shaurya Sharma,STU100128,B,Female,19,CS,15.3,67.5,56.15,61.13,65.76,61.44,43.97,70.49,61.57,C
navya.kumar129@gmail.com,Navya Kumar,STU100129,D,Female,18,Engineering,33.1,95.03,73.9,87.68,84.17,75.5,63.33,86.43,82.57,B
ananya.verma130@gmail.com,Ananya Verma,STU100130,A,Male,20,Engineering,24.8,87.32,73.26,73.32,71.41,75.45,62.43,85.82,75.34,B
aadhya.iyer131@gmail.com,Aadhya Iyer,STU100131,A,Female,20,Engineering,19.9,82.55,50.9,61.01,65.14,54.64,53.79,74.4,62.1,C
diya.singh132@gmail.com,Diya Singh,STU100132,B,Female,19,Mathematics,25.0,81.42,68.67,73.92,74.11,66.82,43.99,87.52,72.8,B
ishita.gupta133@gmail.com,Ishita Gupta,STU100133,A,Female,20,Business,14.4,77.1,46.38,56.98,65.98,54.42,47.62,63.96,58.2,C
krishna.gupta134@gmail.com,Krishna Gupta,STU100134,D,Male,17,CS,24.2,84.22,64.94,75.67,69.94,66.91,55.94,80.92,72.18,B
shaurya.verma135@gmail.com,Shaurya Verma,STU100135,D,Female,17,Mathematics,14.1,73.49,55.11,61.38,70.14,65.08,40.0,72.1,63.03,C
anika.sharma136@gmail.com,Anika Sharma,STU100136,C,Male,19,Engineering,25.1,84.48,64.08,67.52,80.21,67.74,45.56,83.11,70.91,B
krishna.iyer137@gmail.com,Krishna Iyer,STU100137,A,Male,22,Business,13.3,75.98,51.98,72.39,58.63,53.56,49.16,79.43,64.26,C
aditya.das138@gmail.com,Aditya Das,STU100138,A,Male,24,Mathematics,14.5,73.04,57.49,59.54,68.11,59.79,53.5,68.73,62.41,C
reyansh.iyer139@gmail.com,Reyansh Iyer,STU100139,E,Female,21,Business,22.8,82.53,61.15,74.05,72.01,63.59,59.4,84.51,71.28,B
navya.roy140@gmail.com,Navya Roy,STU100140,D,Female,19,Business,18.6,73.96,65.34,60.86,75.11,52.52,57.39,74.51,65.56,C
navya.sharma141@gmail.com,Navya Sharma,STU100141,B,Female,17,Engineering,16.0,75.85,59.37,68.92,64.81,58.32,47.19,71.56,65.2,C
aadhya.patel142@gmail.com,Aadhya Patel,STU100142,B,Female,19,Business,20.3,83.14,60.91,58.98,70.09,68.06,51.29,77.49,65.82,C
ananya.iyer143@gmail.com,Ananya Iyer,STU100143,B,Male,17,Engineering,20.6,80.76,65.72,72.7,79.49,60.89,49.42,74.63,70.98,B
reyansh.chatterjee144@gmail.com,Reyansh Chatterjee,STU100144,B,Male,20,Mathematics,24.3,86.29,58.15,64.22,73.43,66.84,63.96,78.5,68.27,C
navya.kumar145@gmail.com,Navya Kumar,STU100145,B,Male,23,Business,23.4,86.6,68.02,68.09,78.18,64.45,54.82,86.28,72.23,B
vivaan.iyer146@gmail.com,Vivaan Iyer,STU100146,E,Male,23,Business,15.3,79.2,46.2,67.39,70.28,64.93,52.05,69.56,63.97,C
vivaan.sharma147@gmail.com,Vivaan Sharma,STU100147,E,Female,17,Business,13.8,74.99,55.43,64.0,65.19,54.91,43.96,63.45,61.6,C
navya.kumar148@gmail.com,Navya Kumar,STU100148,D,Male,19,CS,28.0,88.59,64.47,70.49,76.95,73.99,58.86,84.47,73.23,B
aadhya.kumar149@gmail.com,Aadhya Kumar,STU100149,B,Female,23,CS,28.5,88.0,65.27,75.71,83.23,68.66,56.74,78.55,74.61,B
ishita.gupta150@gmail.com,Ishita Gupta,STU100150,A,Male,24,Mathematics,25.3,82.37,68.37,69.22,71.67,61.66,62.61,78.27,70.55,B
sai.verma151@gmail.com,Sai Verma,STU100151,D,Female,17,Engineering,23.4,84.14,63.32,73.6,66.6,61.3,61.67,77.31,70.09,B
ishita.kumar152@gmail.com,Ishita Kumar,STU100152,B,Male,19,CS,19.6,82.11,66.9,60.45,62.56,61.87,55.33,70.58,65.12,C
sai.sharma153@gmail.com,Sai Sharma,STU100153,E,Male,18,Engineering,35.6,100.0,78.13,88.43,88.71,86.48,61.34,92.35,86.41,A
anika.chatterjee154@gmail.com,Anika Chatterjee,STU100154,E,Male,18,Business,17.1,77.26,50.47,59.38,68.24,60.39,50.28,73.64,61.79,C
diya.verma155@gmail.com,Diya Verma,STU100155,E,Female,21,Engineering,10.9,72.43,40.0,62.12,61.21,50.3,45.82,61.86,56.57,C
aadhya.roy156@gmail.com,Aadhya Roy,STU100156,A,Female,20,Business,26.9,87.09,71.36,67.49,82.14,69.35,67.49,78.99,73.76,B
navya.kumar157@gmail.com,Navya Kumar,STU100157,E,Female,17,Mathematics,14.4,77.2,51.39,58.69,60.4,60.76,47.15,72.42,60.34,C
vivaan.gupta158@gmail.com,Vivaan Gupta,STU100158,C,Female,18,Business,18.9,75.99,60.25,59.41,71.68,66.66,55.16,79.26,65.57,C
ira.roy159@gmail.com,Ira Roy,STU100159,B,Male,21,CS,20.6,84.87,64.23,65.49,69.63,55.01,57.05,71.98,66.98,C
ishita.roy160@gmail.com,Ishita Roy,STU100160,C,Female,18,Mathematics,18.6,80.96,53.47,66.62,71.42,63.08,52.77,79.13,66.35,C
ira.iyer161@gmail.com,Ira Iyer,STU100161,B,Male,20,Mathematics,16.6,76.54,57.26,55.38,69.7,66.14,54.18,72.95,62.79,C
sai.kumar162@gmail.com,Sai Kumar,STU100162,C,Male,17,Business,18.9,79.32,61.88,62.77,69.39,60.33,58.85,82.41,66.76,C
myra.kumar163@gmail.com,Myra Kumar,STU100163,B,Female,19,Mathematics,12.8,68.45,63.12,66.18,63.66,57.26,48.63,72.25,64.25,C
anika.chatterjee164@gmail.com,Anika Chatterjee,STU100164,D,Male,17,Engineering,16.2,72.49,60.14,63.54,59.51,60.22,50.99,69.86,62.82,C
ira.das165@gmail.com,Ira Das,STU100165,C,Female,24,Mathematics,11.8,75.76,48.84,63.39,59.3,52.93,42.87,71.51,59.84,C
reyansh.verma166@gmail.com,Reyansh Verma,STU100166,D,Female,18,CS,21.4,86.72,58.27,72.73,66.57,59.98,57.04,76.07,68.59,C
myra.gupta167@gmail.com,Myra Gupta,STU100167,E,Female,19,Mathematics,20.1,82.45,67.45,67.68,68.98,64.41,58.01,75.59,69.29,C
vivaan.gupta168@gmail.com,Vivaan Gupta,STU100168,E,Male,20,Business,30.3,95.72,65.87,71.85,81.78,59.14,67.45,83.27,74.18,B
reyansh.iyer169@gmail.com,Reyansh Iyer,STU100169,A,Male,18,Mathematics,34.8,94.01,79.44,82.94,82.54,79.22,58.6,97.59,83.16,B
myra.kumar170@gmail.com,Myra Kumar,STU100170,C,Female,18,CS,19.3,79.99,55.9,70.74,78.41,63.69,51.37,78.93,68.99,C
anika.das171@gmail.com,Anika Das,STU100171,C,Female,23,Business,21.5,89.09,55.36,68.39,71.74,66.04,55.83,83.36,68.99,C
vivaan.iyer172@gmail.com,Vivaan Iyer,STU100172,A,Male,21,Mathematics,21.2,83.83,63.39,70.14,70.16,70.97,52.41,79.38,70.28,B
vivaan.gupta173@gmail.com,Vivaan Gupta,STU100173,A,Male,24,Mathematics,18.5,79.63,55.29,63.05,63.56,54.13,53.07,68.94,62.43,C
shaurya.patel174@gmail.com,Shaurya Patel,STU100174,C,Male,17,Mathematics,27.4,90.85,66.61,75.22,75.27,61.92,50.38,92.0,74.17,B
vivaan.iyer175@gmail.com,Vivaan Iyer,STU100175,A,Female,17,Engineering,21.5,82.07,66.72,73.86,66.69,65.59,55.16,81.44,71.17,B
sai.verma176@gmail.com,Sai Verma,STU100176,C,Female,24,Business,36.7,88.37,75.83,78.91,89.24,83.15,70.04,98.26,82.7,B
navya.kumar177@gmail.com,Navya Kumar,STU100177,C,Male,22,Business,32.1,88.33,70.92,77.54,88.58,67.2,61.48,91.33,78.49,B
sai.singh178@gmail.com,Sai Singh,STU100178,A,Female,17,Engineering,20.7,83.07,61.2,67.94,69.78,68.09,57.85,77.6,68.86,C
